Id,videoView,totalVideoView,percent
二元一次方程组的引入,461,63234,0.1186309830159547
负数的定义,323,63234,0.08311888831703551
有理数及其分类,275,63234,0.07076685537828101
相交线与平行线的引入,472,48358,0.1239170385928065
有理数的引入,629,48358,0.16513520609083748
平方根,162,48358,0.04253084799159885
算术平方根,124,48358,0.03255447624048307
一次函数的引入,610,48358,0.1601470202152796
立方根,120,48358,0.03150433184562877
不等式与不等式组的引入,621,48358,0.1630349173011289
二元一次方程组的引入,418,48358,0.10974008926227356
负数的定义,355,48358,0.09320031504331845
有理数及其分类,298,48358,0.07823575741664479
相交线与平行线的引入,769,95617,0.10338800752890562
有理数的引入,1156,95617,0.15541812315138478
平方根,402,95617,0.05404678677063727
算术平方根,315,95617,0.04235009411132025
一次函数的引入,1256,95617,0.16886259747243884
立方根,246,95617,0.033073406829792956
不等式与不等式组的引入,1186,95617,0.159451465447701
二元一次方程组的引入,806,95617,0.10836246302769562
负数的定义,679,95617,0.09128798063995698
有理数及其分类,623,95617,0.08375907502016672
相交线与平行线的引入,747,110757,0.10356301122972411
有理数的引入,983,110757,0.13628171357271593
平方根,426,110757,0.059060030500485236
算术平方根,341,110757,0.04727575211423818
一次函数的引入,1231,110757,0.17066407874670733
立方根,230,110757,0.031886870927492025
不等式与不等式组的引入,1332,110757,0.18466657424095384
二元一次方程组的引入,791,110757,0.10966310827672258
负数的定义,592,110757,0.08207403299597948
有理数及其分类,540,110757,0.07486482739498128
相交线与平行线的引入,388,61445,0.09052729818012133
有理数的引入,633,61445,0.147690153989734
平方根,269,61445,0.06276248250116659
算术平方根,223,61445,0.052029864675688285
一次函数的引入,571,61445,0.13322445170321978
立方根,171,61445,0.039897340177321515
不等式与不等式组的引入,953,61445,0.22235184321045265
二元一次方程组的引入,394,61445,0.0919272048530098
负数的定义,359,61445,0.0837610825944937
有理数及其分类,325,61445,0.07582827811479234
相交线与平行线的引入,349,62908,0.08994845360824742
有理数的引入,564,62908,0.14536082474226805
平方根,209,62908,0.0538659793814433
算术平方根,160,62908,0.041237113402061855
一次函数的引入,548,62908,0.14123711340206185
立方根,136,62908,0.03505154639175258
不等式与不等式组的引入,873,62908,0.225
二元一次方程组的引入,410,62908,0.1056701030927835
负数的定义,343,62908,0.08840206185567011
有理数及其分类,288,62908,0.07422680412371134
相交线与平行线的引入,417,67802,0.1005546177959971
有理数的引入,669,67802,0.16132143718350614
平方根,232,67802,0.055944055944055944
算术平方根,204,67802,0.049192187123221605
一次函数的引入,567,67802,0.13672534362189534
立方根,138,67802,0.03327706775982638
不等式与不等式组的引入,777,67802,0.18736435977815288
二元一次方程组的引入,368,67802,0.08873884735953702
负数的定义,400,67802,0.09645526886906197
有理数及其分类,375,67802,0.0904268145647456
相交线与平行线的引入,422,67023,0.10678137651821862
有理数的引入,677,67023,0.17130566801619435
平方根,193,67023,0.04883603238866397
算术平方根,166,67023,0.04200404858299595
一次函数的引入,483,67023,0.1222165991902834
立方根,129,67023,0.0326417004048583
不等式与不等式组的引入,760,67023,0.19230769230769232
二元一次方程组的引入,361,67023,0.09134615384615384
负数的定义,398,67023,0.1007085020242915
有理数及其分类,363,67023,0.09185222672064777
