Id,videoView,totalVideoView,percent,time
有理数的引入,1156,95617,0.12328036685507092,14
一次函数的引入,1256,95617,0.13394475845153034,14
不等式与不等关系,980,95617,0.10451103764530234,14
一元一次不等式,770,95617,0.08211581529273755,14
相交线与平行线的引入,769,95617,0.08200917137677295,14
二元一次方程组的引入,806,95617,0.08595499626746295,14
函数的概念,868,95617,0.09256691905726779,14
函数的解析式,860,95617,0.09171376772955103,14
正比例函数的概念,726,95617,0.0774234829902954,14
不等式与不等式组的引入,1332,110757,0.13616847270496832,15
有理数的引入,983,110757,0.10049069719893683,15
一次函数的引入,1231,110757,0.12584338581067267,15
不等式与不等关系,1197,110757,0.12236761398487017,15
一元一次不等式,987,110757,0.10089961153138417,15
相交线与平行线的引入,747,110757,0.07636475158454303,15
二元一次方程组的引入,791,110757,0.08086280924146391,15
函数的概念,832,110757,0.08505418114904928,15
函数的解析式,814,110757,0.08321406665303618,15
正比例函数的概念,868,110757,0.08873441014107544,15
不等式与不等式组的引入,953,61445,0.16254477230086986,16
有理数的引入,633,61445,0.10796520552618113,16
一次函数的引入,571,61445,0.09739041446358519,16
不等式与不等关系,854,61445,0.14565921882995053,16
一元一次不等式,748,61445,0.1275797373358349,16
相交线与平行线的引入,388,61445,0.06617772471431008,16
二元一次方程组的引入,394,61445,0.0672010915913355,16
函数的概念,425,61445,0.07248848712263346,16
函数的解析式,394,61445,0.0672010915913355,16
正比例函数的概念,503,61445,0.08579225652396384,16
不等式与不等式组的引入,873,62908,0.15041350792556857,17
有理数的引入,564,62908,0.09717436250861475,17
一次函数的引入,548,62908,0.09441764300482426,17
不等式与不等关系,804,62908,0.13852515506547208,17
一元一次不等式,853,62908,0.14696760854583046,17
相交线与平行线的引入,349,62908,0.06013094417643005,17
二元一次方程组的引入,410,62908,0.07064093728463129,17
函数的概念,437,62908,0.07529290144727774,17
函数的解析式,454,62908,0.07822191592005513,17
正比例函数的概念,512,62908,0.08821502412129566,17
不等式与不等式组的引入,777,67802,0.136077057793345,18
有理数的引入,669,67802,0.11716287215411558,18
一次函数的引入,567,67802,0.09929947460595447,18
不等式与不等关系,719,67802,0.12591943957968477,18
一元一次不等式,861,67802,0.15078809106830124,18
相交线与平行线的引入,417,67802,0.07302977232924694,18
二元一次方程组的引入,368,67802,0.06444833625218914,18
函数的概念,468,67802,0.0819614711033275,18
函数的解析式,430,67802,0.07530647985989491,18
正比例函数的概念,434,67802,0.07600700525394045,18
不等式与不等式组的引入,760,67023,0.13911770089694306,19
有理数的引入,677,67023,0.12392458356214534,19
一次函数的引入,483,67023,0.08841295991213619,19
不等式与不等关系,711,67023,0.1301482701812191,19
一元一次不等式,830,67023,0.1519311733479773,19
相交线与平行线的引入,422,67023,0.07724693391909207,19
二元一次方程组的引入,361,67023,0.06608090792604795,19
函数的概念,399,67023,0.07303679297089512,19
函数的解析式,448,67023,0.08200622368661907,19
正比例函数的概念,372,67023,0.06809445359692477,19
不等式与不等式组的引入,533,48664,0.12977842707572437,20
有理数的引入,587,48664,0.14292671049427808,20
一次函数的引入,468,48664,0.1139517896274653,20
不等式与不等关系,447,48664,0.10883856829802775,20
一元一次不等式,482,48664,0.11736060384709034,20
相交线与平行线的引入,378,48664,0.09203798392987582,20
二元一次方程组的引入,344,48664,0.08375943511078646,20
函数的概念,331,48664,0.08059410762113464,20
函数的解析式,296,48664,0.07207207207207207,20
正比例函数的概念,241,48664,0.05868030192354517,20
不等式与不等式组的引入,754,69702,0.1286689419795222,21
有理数的引入,794,69702,0.13549488054607509,21
一次函数的引入,717,69702,0.12235494880546074,21
不等式与不等关系,631,69702,0.10767918088737201,21
一元一次不等式,559,69702,0.09539249146757679,21
相交线与平行线的引入,547,69702,0.09334470989761093,21
二元一次方程组的引入,551,69702,0.09402730375426621,21
函数的概念,482,69702,0.08225255972696245,21
函数的解析式,497,69702,0.0848122866894198,21
正比例函数的概念,328,69702,0.05597269624573379,21
不等式与不等式组的引入,1021,106133,0.12583189548927778,22
有理数的引入,932,106133,0.11486319940842987,22
一次函数的引入,943,106133,0.1162188809465122,22
不等式与不等关系,868,106133,0.10697559773231452,22
一元一次不等式,921,106133,0.11350751787034755,22
相交线与平行线的引入,641,106133,0.07899926053734287,22
二元一次方程组的引入,569,106133,0.0701257086517131,22
函数的概念,824,106133,0.10155287157998522,22
函数的解析式,741,106133,0.0913236381562731,22
正比例函数的概念,654,106133,0.0806014296278038,22
不等式与不等式组的引入,658,67763,0.13561417971970322,23
有理数的引入,636,67763,0.13107996702390767,23
一次函数的引入,456,67763,0.09398186314921682,23
不等式与不等关系,611,67763,0.12592745259686727,23
一元一次不等式,695,67763,0.143239901071723,23
相交线与平行线的引入,344,67763,0.07089859851607584,23
二元一次方程组的引入,343,67763,0.07069249793899422,23
函数的概念,404,67763,0.0832646331409728,23
函数的解析式,376,67763,0.07749381698268755,23
正比例函数的概念,329,67763,0.06780708985985161,23
不等式与不等式组的引入,627,72680,0.12837837837837837,24
有理数的引入,639,72680,0.13083538083538085,24
一次函数的引入,485,72680,0.0993038493038493,24
不等式与不等关系,603,72680,0.12346437346437346,24
一元一次不等式,682,72680,0.13963963963963963,24
相交线与平行线的引入,398,72680,0.08149058149058148,24
二元一次方程组的引入,361,72680,0.07391482391482392,24
函数的概念,406,72680,0.08312858312858312,24
函数的解析式,374,72680,0.07657657657657657,24
正比例函数的概念,309,72680,0.06326781326781326,24
不等式与不等式组的引入,616,71684,0.12576561861984484,25
有理数的引入,629,71684,0.12841976316864026,25
一次函数的引入,496,71684,0.10126582278481013,25
不等式与不等关系,550,71684,0.11229073091057575,25
一元一次不等式,685,71684,0.13985300122498978,25
相交线与平行线的引入,378,71684,0.07717435688035933,25
二元一次方程组的引入,304,71684,0.0620661494487546,25
函数的概念,507,71684,0.10351163740302165,25
函数的解析式,414,71684,0.08452429563086974,25
正比例函数的概念,319,71684,0.06512862392813393,25
